职位,公司,地区,学历,岗位,薪资,福利,工作经验,链接
['大数据销售经理（山西）'],['黑龙江鑫联华信息股份有限公司'],['太原市区'],['\n大专                        '],[],['8千-1万/月'],"['节日福利', '员工旅游', '五险一金', '绩效奖金', '年终分红', '交通补助', '周末双休']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC184309211J00197637902/
['大数据销售经理（广州）'],['黑龙江鑫联华信息股份有限公司'],['广州市区'],['\n大专                        '],[],['1.5万-2万/月'],"['节日福利', '员工旅游', '五险一金', '绩效奖金', '年终分红', '交通补助', '周末双休']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC184309211J00197612202/
['大数据人工智能助理3500'],['沈阳天诚极米科技有限公司'],['沈河区小西'],"['经验', '\n大专                        ']","['岗位职责：', '1. 参与软件产品（项目）的需求分析、软件设计、框架建设等工作；', '2. 根据开发规范与项目流程进行软件开发、编码测试、优化运维等工作；', '3. 撰写项目及软件开发相关的文档和资料；', '岗位要求：', '1、18-30岁，中专及以上学历。', '2.责任心强，有良好的团队精神和亲和力', '3.懂办公软件操作，有意向长期往技术方向发展', '4.能吃苦、学习能力强，做事积极、细心', '福利待遇：', '1.周末双休；', '2.五险一金，优于行业水平的薪资+绩效奖金；', '3.一年一到两次的加薪机会；', '4.高于法定规定的超长带薪休假；', '5.广阔的晋升空间，公司将向每个员工提供均等的晋升机会。\n                ']",['3.5千-4.5千/月'],"['五险一金', '全勤奖', '年底双薪', '包吃', '包住', '绩效奖金', '年终分红', '交通补助']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CZ840762650J00099453609/
['包住宿大数据开发工程师（实习生）'],['临沂影漫文化传媒有限公司'],['临沂市兰山区临西八路与双领路交汇东临大悦城三楼307室'],"['经验', '\n大专                        ']",[],['6千-8千/月'],"['五险一金', '绩效奖金', '带薪年假', '加班补助', '年终分红', '包住', '节日福利']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CZ835910310J00121552915/
['大数据销售经理（济南）'],['黑龙江鑫联华信息股份有限公司'],['济南市区'],['\n大专                        '],[],['8千-1万/月'],"['节日福利', '员工旅游', '五险一金', '绩效奖金', '年终分红', '交通补助', '补充医疗保险', '周末双休']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC184309211J00195510102/
['大数据销售经理（郑州）'],['黑龙江鑫联华信息股份有限公司'],['郑州市区'],['\n大专                        '],[],['8千-1万/月'],"['节日福利', '员工旅游', '五险一金', '绩效奖金', '年终分红', '交通补助', '补充医疗保险', '周末双休']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC184309211J00195513602/
['大数据工程师'],['黑龙江鑫联华信息股份有限公司'],['哈尔滨南岗区浦江路37号'],['\n本科                        '],"['岗位经验：', '1、3年以上JAVA项目开发相关工作经验；', '2、2年以上大数据项目开发经验；', '3、有hadoop/spark项目开发经验；', '行为要求： ', '1.      熟悉主流数据库oracle/mysql至少一种；', '2.      熟悉hadoop环境，能够独立搭建及调测；', '3.      对其他大数据相关组件有相应了解；', '4.      有良好的学习能力，喜欢专研技术；', '5.     Python简单开发；', '福利待遇：双休、五险一金，年底十三薪，员工旅游，超长年休假等福利。', '\n                ']",['8千-1万/月'],"['节日福利', '员工旅游', '五险一金', '绩效奖金', '年终分红', '交通补助', '周末双休']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CC184309211J00195556402/
['销售项目经理（大数据事业部）'],['安徽宝龙环保科技有限公司'],['合肥市蜀山新产业园仰桥路18号  联系方式 0551-62620005-8105'],['\n本科                        '],"['【岗位职责】', '1、负责项目合同的签订、组织项目的验收、项目回款等；', '2、协同公司项目团队成员完成项目投标前的标书制作工作；', '3、开拓新市场，发展新客户，能代表公司与目标客户进行良好的商务谈判；', '4、承担个人销售指标，重点拓展相关行业客户资源，管理和经营客户关系，跟踪重点客户销售机会；', '5、执行公司销售政策，积极承担公司制定的销售任务。', '【任职要求】', '1、本科及以上学历，计算机应用、软件工程、市场营销相关专业优先；', '2、具有清晰的销售思路和销售方法；', '3、具有分析能力、判断能力和沟通能力；', '4、具有良好的团队合作精神和抗压能力。', '\n                ']",['1万-1.5万/月'],"['五险一金', '年底双薪', '包吃', '包住', '带薪年假', '定期体检']",['\n5-10年                            \n                        '],https://m.zhaopin.com/jobs/CC198869929J00313566901/
['大数据分析师'],['铜仁市万山区家宝环境有限公司'],['滨海大道81号南洋大厦802'],['\n本科                        '],[],['6千-1.2万/月'],"['五险一金', '年终分红', '股票期权', '带薪年假', '弹性工作', '员工旅游', '节日福利', '周末双休']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CZ844483310J00230892304/
['销售经理（大数据项目）'],['天津锐网科技股份有限公司'],['天津市南开区华苑产业园区鑫茂天财酒店9楼'],['\n大专                        '],[],['1.5万-2万/月'],"['五险一金', '绩效奖金', '年终分红', '带薪年假', '员工旅游', '节日福利']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC274047882J00123329214/
