职位,公司,地区,学历,岗位,薪资,福利,工作经验,链接
['大数据售前讲师'],['重庆足下科技有限公司'],['沙坪坝区西永大道36号'],['\n大专                        '],[],['8千-1万/月'],"['节日福利', '员工旅游', '五险一金', '加班补助', '交通补助']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC377293313J00228875804/
['大数据开发工程师-大数据产品部'],['深圳市思迪信息技术股份有限公司'],['深圳市南山区深圳湾科技生态园9栋B4座14楼'],['\n本科                        '],[],['1万-2万/月'],"['五险一金', '弹性工作', '带薪年假', '定期体检']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC255632314J00158745808/
['大数据分析岗位'],['上汽通用五菱汽车股份有限公司'],['柳州市河西路18号'],"['经验', '\n本科                        ']","['岗位职责：', '\xa0 \xa0 \xa0数据收集、数据平台建设、数据分析、数据挖掘系统建设、数据预测等。', '\xa0 \xa0 任职要求：', '\xa0 \xa0 1、本科及本科以上全日制学历，“985”、“211”工程院校优先。', '\xa0 \xa0 2、数学类、统计学类、计算机等相关专业。 \xa0 \xa0', '\n                ']",['面议'],[],"['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC000064129J90251563000/
['Site Reliability Engineer-大数据运维'],['北京神州新桥科技有限公司'],['前海深港合作区梦海大道创新商务中心A组团1层公馆南路（1号线鲤鱼门A口）'],['\n本科                        '],"['PrincipalResponsibilities: ', '主要职责：', '·        Build and manage cloud basedBig data and analytics platforms, including Enterprise Data Lake, DataGovernance and , Self-service BI and Augmented Analytics platform, etc…', '搭建和管理基础云大数据和平台分析，包括企业数据、数据管理和管理平台和自助BI和增强分析平台等。', '·        Proactively manage productionservices and data pipelines to ensure service availability and overall systemhealthiness', '主动管理生产服务和数据管道，确保服务可用性和系统体系健康。', '·        Createand own infrastructure and process for both build and testing from scratch', '从零开始为构建和测试创建并拥有基础设施和流程。', '·        Minimise operational efforts, automateprocesses where possible and are repeatable and reliable', '尽量减少运营工作量，在可能的情况下实现流程自动化，且重复和可靠。', '·        Engage with Data Architects andProduct Engineers to design and continuously refine Platform offerings andarchitecture', '与数据架构师和产品工程师合作，设计并不断完善平台产品和架构。', '·        Work closely with DataEngineers for product and service launch, including release planning, capacitymanagement and operational review.', '与数据工程师紧密配合产品和服务的发布，包括发布计划，产能管理和运营审核。', 'Knowledge,Skills & Qualifications:', '硬件知识、专业领域和资质', '·        Data driven thinking. ', '数据驱动思维。', '·        Experiencein DevOps toolchain (Jenkins/Git/Ansible, etc).', 'DevOps工具链经验(Jenkins/Git/Ansible等)', '·        Experiencein test automation framework (Robot, selenium, etc).', '有测试自动化框架(机器人，selenium等)的经验。', '·        Experiencein ELK, Cloudwatch or other application monitoring tools.', '有ELK、Cloudwatch或其他应用程序监控工具的经验。', '·        Experiencein container technologies (openshift, docker or k8s).', '容器技术经验(openshift、docker或k8s)。', '·        Experience in maintaining andoperating cloud base large-scale data infrastructures is a highly desired.', '具有维护和操作云数据库基础大型数据的经验。', '·        Knowledgein building and operate data infrastructure on AWS, Azure or GCP.', '具备在AWS、Azure或GCP上构建和操作数据基础设施的知识。', '·        Excellent communication skillsand experience working in cross functional teams.', '优秀的沟通技巧和跨职能团队协作的工作经验。', '·        Over 3 years experience in DevOps orSRE', '3年以上DevOps或SRE经验', 'Experience:', '经验', '·        Experiencein Apache Hadoop andSpark.', '具备Apache Hadoop和 Spark的经验。', '·        Experiencein Time-series DB and analysis.', '有时间序列数据库和分析经验。', '·        Experiencein in-memory data processing / databases.', '有内存数据处理/数据库方面的经验。', '·        Experiencein Data Security and protection tools.', '有数据安全和保护工具方面的经验。', '·        Solid grounding in Financial Services Industry.', '扎实的金融服务业基础。', '·        Solid knowledge in SQL.', '扎实的SQL知识。\n                ']",['1.5万-2.5万/月'],"['周末双休', '五险一金', '年底双薪', '绩效奖金', '餐补', '通讯补贴', '补充医疗保险', '定期体检']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC120101090J00125896615/
['大数据应用分析（双休实习）'],['源码启航科技有限公司'],['哈尔滨市南岗区'],"['经验', '\n本科                        ']","['负责大数据平台的研制和维护性开发，提供数据应用项目技术支持', '任职要求：', '1.大专及以上学历，应往届不限，应届生提供实习岗', '2.针对应届生，可提供签订第三方就业协议', '3.理工类相关专业优先考虑', '4.有一定的计算机应用及操作基础者优先考虑', '5.具有良好的沟通能力及团队协作意识', '6.具有较强的学习能力，积极努力，责任心强', '7.寻求稳定发展的、踏实肯干者优先', '8.逻辑思维能力强者', '福利待遇：', '1. 正式录用签订劳动合同', '2.公司提供七险二金：', '养老保险+医疗保险+生育保险+工伤保险+失业保险+补充医疗保险+商业保险+住房公积金 +企业年金（随员工入职年限增长）', '3.绩效奖金', '4.年终项目收益奖', '5.满勤奖', '6.带薪年假', '7.节日福利（享受国家所有法定假日福利）', '8.每年提供员工免费体检一次', '9.周末双休，无强制加班', '10.底薪：3000-5000（具体面议）', '11.全年13至14薪（具体根据部分划分而定）', '12.提供交通补助、电话补助、住房补助及餐补', '13.市内五区提供班车，提供食堂就餐', '14.为有员工提供良好完善的职业晋升空间及平台', '15.每年2次团队建设活动旅游\n                ']",['4千-6千/月'],"['节日福利', '每年多次调薪', '周末双休', '五险一金', '年底双薪', '绩效奖金', '带薪年假', '年终分红']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC686831687J00126862310/
['大数据'],['深圳市一站通企业服务有限公司'],['大学城外环东路232号13栋国家数字家庭基地A301-302'],"['\n                                ', '学历', '不限                        ']","['岗位职责：', '1、承担建设基于Hadoop/Spark生态的大数据离线/实时处理平台；', '2、原始数据源的抽取、清洗、转储、检索等相关工作；', '3、跟进大数据前沿技术的发展，将合适的技术方案适时引入业务场景；', '任职要求：', '1、2~3年互联网大数据处理经验；有实时处理工作经历并有一定解决方案者优先；', '2、熟悉大数据开源技术，包含（不限于）Hadoop/Spark/Spark Streaming/Hive/Hbase/Impala /Flume/Kafka/Solr/Es分布式框架/计算/存储/检索等相关技术,', '并有一定的Hadoop生态系统运维经验；', '3、掌握Python或Java一种开发语言；', '4、掌握SQL，SparkSQL进行数据开发；较好的SQL性能调优经验；', '5、优秀的分析、解决问题能力，充分的数据敏感度；有一定的高性能支撑经验和故障排除能力；', '6、具备强烈的工作责任感，喜欢钻研，态度乐观，团队意识强。\n                ']",['1.5万-2万/月'],"['绩效奖金', '周末双休', '员工旅游', '五险一金', '补充医疗保险', '每年多次调薪']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CZ462311480J00296516405/
['大数据开发工程师'],['厦门用友烟草软件有限责任公司'],['软件园二期望海路59号302'],"['经验', '\n本科                        ']",[],['1万-1.5万/月'],"['补充医疗保险', '定期体检', '五险一金', '餐补', '带薪年假', '弹性工作', '绩效奖金', '员工旅游']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC210345613J00183016702/
['大数据研发工程师'],['同程网络科技股份有限公司'],['苏州工业园区裕新路188号同程大厦'],['\n本科                        '],"['任职要求：', '1、教育程度：全日制本科以上学历。', '2、经验要求：三年以上', '3、技能要求：', '熟悉Java和Scala语言开发基础，有一定Spark应用经验，对Spark原理有深入的理解；', '熟悉Spark、Hive、HBase、Zookeeper；', '熟悉Hadoop生态系统；', '具有良好的沟通能力和自我驱动能力，有阅读英文文档的能力；', '有开源社区经验优先', '掌握多线程、分布式、高性能编码设计，有大型分布式、高可用系统设计开发经验者优先', '有大数据平台运维调优经验者优先', '4、素质要求：具备良好的学习能力、沟通能力、适应能力 强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长；', '工作职责：', '参与公司大数据产品规划；', '大数据处理分析平台的设计与开发；', '为其他项目组提供大数据技术指导及分析手段支持；', '\n                ']",['1.5万-2.5万/月'],"['节日福利', '五险一金', '年底双薪', '带薪年假', '定期体检']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC141685250J90261775000/
['需求工程师（大数据）'],['广发银行股份有限公司信用卡中心'],['珠江新城高德置地夏广场'],['\n本科                        '],[],['1万-1.5万/月'],"['五险一金', '年底双薪', '餐补', '补充医疗保险', '定期体检', '带薪年假', '包吃', '绩效奖金']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC132189574J00221518306/
['大数据工程师'],['博彦科技(深圳)有限公司'],['知春路27号量子芯座21层，10/13号线知春路站'],['\n大专                        '],[],['1.5万-2万/月'],"['五险一金', '年底双薪', '定期体检', '绩效奖金', '周末双休', '带薪年假']",['\n5-10年                            \n                        '],https://m.zhaopin.com/jobs/CC541486423J00271694803/
['大数据销售经理（山东区域）'],['黑龙江鑫联华信息股份有限公司'],['济南市'],['\n本科                        '],[],['8千-1万/月'],"['节日福利', '员工旅游', '五险一金', '绩效奖金', '年终分红', '交通补助', '周末双休']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC184309211J00233622502/
['云计算大数据开发实习助理'],['厦门智汇祥盈科技有限公司'],['厦门市思明区观音山商务区'],['\n大专                        '],"['工作内容：', '1. 负责云计算平台整体架构设计，建设规划；', '2. 云计算相关技术跟进及云计算项目跟进；', '3. 负责云计算平台整体架构设计方案编写与技术交流；', '4. 云计算项目实施与运维，以及云计算项目客户培训；', '5. 熟悉主流操作系统，数据库配置与维护；', '任职要求：', '1. 大专以上学历，应/往届毕业生，有志于在IT行业发展；', '2. 理工科专业，所含专业包括计算机、电子信息、软件工程、自动化、测控、机电等；\n                ']",['4千-6千/月'],"['五险一金', '绩效奖金', '餐补']",['\n无经验                            \n                        '],https://m.zhaopin.com/jobs/CZ608468980J00073376303/
['大数据高级开发工程师'],['深圳市环球易购电子商务有限公司'],['深圳市南山区深圳市南山区东滨路与南光路交汇处，永新汇3号楼1楼'],['\n本科                        '],"['1、负责推荐系统大数据离线、实时计算平台的建设、优化；负责项目Hadoop/Hive/Storm/Spark/hbase等大数据平台建设', '2、负责开发大数据工具，如报表平台、多维度分析工具、ETL平台、调度平台的研发；', '3，跟踪业界前沿技术，应用到实际项目中；', '任职资格:', '1、精通Java/Python/Scala至少一种，良好的代码编写素养，熟练掌握操作系统、网络原理、数据结构与算法；', '2、精通Hadoop、Hive、Spark、Storm、HBase等大数据技术的原理以及优化，并有一定的大数据平台建设调优经验;\xa0', '3、在开源社群活跃并有积极贡献者优先；', '4、思维敏捷，有较强的钻研学习能力；', '5、较好的沟通能力、团队合作；', '【环球易购诚邀您的加入】', '选平台：创建于2007年，现在职员工有5000多人。于2014年9月份与百圆裤业（2015年6月12日起更名为跨境通）并购上市，成为国内第一家在A股主板上市的跨境电商企业（SZ002640），是中国最大的垂直类B2C跨境电商企业。每年业绩近100%增长。大平台，实力雄厚！', '谈薪酬：富有行业竞争力的全面薪酬，转正后底薪、绩效、全勤奖、年末红包、优秀员工奖、激励计划、只要你努力，升职加薪不是梦！', '论发展：入职培训、技能培训、户外拓展、导师制！为员工搭建Y字形双通道发展路径。', '说保障\xa0：', '1）社会保险及住房公积金福利待遇；', '2）应届生和入职满半年可以办理深圳落户，做美丽深圳的主人；', '3）司龄满一年可享受公司提供的年度健康体检福利；', '话人文：', '1）悠闲下午茶，抛开工作畅谈生活，也可自助阅读公司购买专业书籍；', '2）国家传统的节日，为员工送上节日的祝福及礼品；', '3）与外国同事一起开启语言学习快速通道，各种Party High到爆；', '4）周三篮球活动、周五羽毛球活动、并每月组织足球活动；', '5）不定期部门聚餐（K歌、轰趴、饭局、看电影、啃爆米花）；', '6）大型年会，美女帅哥齐聚一堂，能歌善舞，嗨过演唱会；', '7）公司自己的电影播放厅，一场既有可乐又有爆米花的约会。\n                ']",['2万-4万/月'],"['节日福利', '绩效奖金']",['\n5-10年                            \n                        '],https://m.zhaopin.com/jobs/CC426256413J90250574000/
['高级大数据开发工程师'],['泰州基久网络科技有限公司'],['凤凰东路88号'],['\n本科                        '],"['大数据工程师：', '1.两年以上java开发工作经验，阅读过jdk源代码', '2.精通大数据生态圈的技术，包括但不限于MapReduce/Hadoop/HBase/Spark/Strom/Hive/Mongodb，熟悉数据挖掘策略与算法', '3.熟悉分布式系统设计，有大规模系统设计和工程实现的经验', '4.在用户行为日志采集，海量数据处理，数据建模，业务理解方面经验丰富', '5.熟悉常见的机器学习算法，熟悉常用的机器学习工具，包括但不限于Tensorflow、Sklearn、Caffe,有实际模型开发，训练经验', '6.熟悉常用编程语言，包括java，python，Scala', '\n                ']",['6千-1.2万/月'],"['住房补贴', '每年多次调薪', '五险一金', '绩效奖金', '交通补助', '餐补', '房补', '通讯补贴']",['\n1年以下                            \n                        '],https://m.zhaopin.com/jobs/CZ415915730J00033810106/
['大数据培训讲师'],['北京协英科技顾问有限公司'],['华为全球培训中心'],"['经验', '\n本科                        ']",[],['1万-1.5万/月'],"['五险一金', '全勤奖', '带薪年假', '定期体检', '周末双休', '节日福利']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC185007926J00142244911/
['大数据经理'],['北京金码头电子商务有限公司'],['新街口外大街2号'],['\n本科                        '],"['1. 配合规划公司的技术发展路线与产品开发，实现公司的技术创新目标，及时了解和监督技术发展战略规划的执行情况；', '2. 研究决策技术发展路线，规划公司产品的技术构架，负责互联网产品技术框架的选型与搭建，程序开发及技术攻坚；', '3. 配合系统架构及核心代码，重点难点攻克，组织解决项目开发过程中的重大技术问题；', '4. 完成各项技术工作相关数据统计分析报告，并据此对公司发展提出合理化建议；', '5. 负责解决方案部门团队管理；', '6. 参与重大商务谈判和商务活动。', '任职要求：', '1. 本科及以上学历，计算机、软件等相关专业优先；', '2.  3年以上技术研发、软件开发相关行业工作经验及研发团队管理经验；', '3. 深入掌握Hadoop.Hive.HBase.Spake等大数据处理平台，并有丰富的实践经验', '4. 擅长对外交流及技术宣讲，有大型互联网公司业务数据分析经验，并有通过数据分析项目大幅提升运营指标的案例优先；', '5. 极强的内驱力与责任心，具备良好的职业素养与极佳的沟通协调能力，适应创业团队，乐于接受挑战；', '6. 具有相关数据分析经验；带领超过10人以上团队，超过2年以上技术经理经验优先。\n                ']",['3万-5万/月'],"['五险一金', '餐补', '补充医疗保险', '定期体检', '节日福利', '带薪年假', '股票期权', '周末双休']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC457822433J00120966712/
['大数据方向开发、分析工程师'],['北京计算机技术及应用研究所'],['西安市'],['\n本科                        '],[],['1万-1.5万/月'],"['五险一金', '餐补', '带薪年假', '定期体检', '高温补贴', '节日福利', '通讯补贴', '交通补助']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CC120834976J00107026115/
['大数据工程师'],['合肥赛为智能有限公司'],['合肥市高新区创新大道666号'],['\n本科                        '],"['岗位职责:', '1、基于hadoop\\spark\\storm生态的大数据存储平台搭建和部署；进行分布式多结点群集系统建设和优化工作；', '2、参与大数据分布式应用系统服务器端软件开发工作（需求开发、故障解决和性能优化等）；', '3、承担数据抽取、清洗、转化等数据处理程序开发；基于大数据平台完成各类统计和开发任务；', '4、从事大数据技术研究和开发工作，跟进大数据技术发展方向；', '5、根据公司需要，完成领导交办的相关工作。', '任职资格:', '1、统招本科及以上学历，计算机及相关专业；具有5年以上工作经验；', '2、3年以上大数据开发或管理经验，有较强的架构能力，能独立负责产品的架构规划和架构演进；', '3、熟悉Hadoop、storm或Spark等分布式系统的工作原理，具备较强的架构、性能优化能力；', '4、熟悉Java，Python，SQL，Hive等开发语言，熟悉lucene、Elasticsearch技术优先；有主导完成优秀应用或大型大数据项目开发经验者优先；', '5、具有良好的团队协作与沟通能力。', '\n                ']",['1万-1.5万/月'],"['每年多次调薪', '股票期权', '五险一金', '通讯补贴', '弹性工作', '不加班', '定期体检']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CC493120425J00060735503/
['Java技术专家——大数据(杭州）'],['伯鸣人力资源(杭州)有限公司'],['江陵路1760号'],['\n本科                        '],"['1、负责业务的产品研发，对于新产品和新业务, 进行系统建模和分析支持, 对于日常特性, 提供架构评审的支持；2、深入发掘和分析业务需求，撰写技术方案和系统设计； 3、参与关键组件和代码的CodeReview, 承担设计质量的责任；4、推动技术和业务的融合, 推动团队的架构设计能力提升，推动技术人员和产品以及业务分析人员的协同能力；5、保持一定的前瞻性, 随着业务复杂性的增加, 负载的增加, 运行管理复杂性的增加, 持续的推动系统设计的重构；6、和业务团队进行线上系统诊断调优，帮助团队解决日常疑难问题', '年龄超限', '年龄超过38岁不考虑最低学历', '必须统招本科以上学历其他项', '1、必须5年以上Java分布式、多线程及高性能的设计与编码及性能调优，必须熟悉主流的大数据产品和数据分析技术并具有相关项目经验，必须熟练掌握Hadoop、Hive、Hbase、Spark、flume、kafka、UNIX、LINUX，能进行shell编程；', '2、最近2年必须有一二线互联网公司背景；', '\n                ']",['3万-5万/月'],"['五险一金', '带薪年假', '绩效奖金', '通讯补贴', '餐补', '交通补助', '年底双薪', '周末双休']",['\n5-10年                            \n                        '],https://m.zhaopin.com/jobs/CZ834187940J00220682803/
['人工智能以及精准大数据销售专员月薪15k'],['杭州炎土科技有限公司'],['西湖区三墩镇灯彩街君尚国际A座1716室'],"['经验', '\n中专                        ']",[],['8千-1.5万/月'],"['全勤奖', '节日福利', '五险一金', '每年多次调薪', '加班补助', '交通补助']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CZ545677180J00227253607/
['区域销售（大数据教育方向）（大田县）'],['安徽七天教育科技有限公司'],['地区'],"['经验', '\n大专                        ']","['岗位职责：', '1、负责公司教育产品在所辖区域内中小学市场的业务开发、拓展；', '2、负责所辖区域内客户关系管理及渠道建设；', '3、负责所辖区域内学校客户日常维护、考试维护；', '4、定期对所辖区域学校开展市场调研，进行客户沟通，升级业务解决方案；', '5、负责协助所辖区域内家长用户的推广维护、咨询解答。', '任职标准：', '1、大专及以上学历，20-38岁，条件优秀者可放宽；', '2、有保险、教育、互联网相关产品销售经验优先，优秀应届毕业生亦可；', '3、对计算机操作较为熟练（需携带笔记本开展日常工作）；', '4、沟通能力、应变能力、执行力、团队协作能力、责任心', '5、能适应出差/驻外、有当地教育系统资源的优先考虑；', '其他福利：社会保险、寒暑假活动、团队活动、法定节假日、节日福利、团队旅游、期权激励、福利补贴（交通、通讯、外地租房等）、各类奖金（不定期开展考试奖、PK奖、高频学校奖、开发奖）、探亲假（非本地区域员工）', '职业发展：业务经理---片区经理---省区经理/项目经理---总监助理---区域总监\n                ']",['8千-1万/月'],"['交通补助', '通讯补贴', '节日福利', '股票期权']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC586387423J00304476707/
